HIP,RAhms,DEdms,Vmag,Plx,SpType,BV
6,00 00 04.35,+03 56 47.4,12.31,18.8,M0V:,1.3359999999999999
16,00 00 12.34,-54 54 50.9,11.71,0.53,,0.42100000000000004
18,00 00 12.75,-04 03 13.5,11.03,19.93,K5,1.567
37,00 00 25.28,-47 10 46.5,10.44,3.74,F0V,0.391
40,00 00 29.27,+67 13 00.4,10.61,-3.4,B...,0.57
47,00 00 32.45,-56 50 06.9,10.78,24.45,K3V,1.15
53,00 00 35.37,-29 15 48.2,10.96,-1.76,,
54,00 00 36.40,+17 58 08.2,10.57,20.97,M:,1.03
65,00 00 45.11,-54 49 49.2,11.0,16.98,,1.147
70,00 00 48.67,+36 46 39.5,10.42,5.25,,0.706
85,00 01 01.44,-24 42 50.6,10.62,3.9,A2,0.359
94,00 01 10.76,-32 45 24.5,10.1,10.48,G2,0.644
96,00 01 13.17,+13 58 29.1,10.46,19.83,M0,1.36
111,00 01 23.78,+34 16 54.7,11.28,27.11,M2,1.308
112,00 01 25.66,-16 56 52.2,10.76,31.35,M1.5V:,1.3840000000000001
127,00 01 38.90,-48 56 06.6,10.86,11.27,,0.9420000000000001
132,00 01 41.28,-34 39 12.6,10.62,1.89,F0,0.358
139,00 01 46.87,+67 30 25.1,10.03,1.62,B0,1.2890000000000001
143,00 01 49.24,+21 27 43.7,10.35,20.05,K3,1.033
149,00 01 54.88,+26 00 20.1,11.26,22.92,K3,0.932
152,00 01 56.27,-28 07 51.4,10.02,5.1,F5,0.456
165,00 02 04.74,-22 19 38.9,10.16,-0.59,Ap...,0.45
191,00 02 26.95,-46 01 43.8,12.43,22.98,M3,1.49
200,00 02 32.51,-33 59 33.6,10.32,3.17,F2,0.32299999999999995
212,00 02 39.23,-29 04 30.9,10.24,6.18,,0.318
226,00 02 48.07,-24 56 42.9,10.3,0.63,F0/F2V,0.254
240,00 02 58.50,+09 47 42.8,10.81,3.36,F8,0.565
252,00 03 07.10,+29 29 09.5,10.3,-0.95,K0...,1.082
263,00 03 19.02,+04 41 13.7,12.04,32.93,M1,1.473
273,00 03 25.65,-46 49 51.5,11.14,1.86,A0V,0.040999999999999995
307,00 03 55.13,-42 33 34.2,11.55,16.27,M0,1.26
320,00 04 05.10,-16 59 51.5,12.14,6.48,F1:,
331,00 04 14.28,-26 57 08.5,10.8,1.88,Gp,0.882
338,00 04 16.16,+66 20 56.9,10.66,-1.21,B,1.45
344,00 04 20.08,+40 06 35.8,10.66,6.82,M5e-M7e,1.5
350,00 04 23.83,-57 19 22.3,10.37,21.14,,1.1
352,00 04 26.42,+58 04 07.6,10.42,12.99,,0.8
353,00 04 26.65,-44 34 02.4,11.63,5.72,,0.971
371,00 04 38.48,-50 02 09.4,10.82,0.81,M5,1.021
390,00 04 50.82,+50 14 05.6,11.67,4.86,F7,
455,00 05 27.54,+76 17 29.6,11.99,6.35,,
464,00 05 32.13,-31 58 03.5,12.04,0.75,A0,0.501
479,00 05 43.25,+25 36 54.6,10.07,1.32,G5,0.9229999999999999
481,00 05 44.06,-36 46 42.4,10.15,7.28,G5,0.677
489,00 05 51.87,+02 45 52.7,10.38,13.23,,0.782
523,00 06 18.90,-65 50 21.1,12.17,56.92,M4,1.55
528,00 06 21.82,-24 36 09.2,10.13,4.69,F8,0.593
535,00 06 28.43,-43 37 39.8,10.07,5.95,F5,0.59
538,00 06 31.68,+05 49 31.1,10.95,13.26,K1,1.008
543,00 06 36.17,-25 17 44.4,10.3,2.04,F5,0.506
549,00 06 40.97,+65 35 15.7,11.55,-0.29,,0.49
551,00 06 43.83,+08 39 26.4,10.92,5.29,,0.792
552,00 06 45.29,-06 15 40.7,10.51,1.92,,0.759
561,00 06 50.31,+68 10 01.7,11.79,3.17,,0.71
564,00 06 51.31,-45 51 50.2,10.18,0.77,F5V,0.58
570,00 06 55.38,-30 36 30.6,12.19,3.82,,
571,00 06 55.74,-30 36 11.1,10.24,3.82,F2/F3V,0.402
575,00 06 59.57,+65 32 19.4,10.41,2.89,B8,0.51
586,00 07 08.01,-23 02 10.1,10.52,6.74,G0,0.512
